Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Current Price,TP1,TP2,SL,Exit Price,P&L,Max Exit Time,backtesting_done
aixbt_agent,https://x.com/aixbt_agent/status/1909806056525677049,2025-04-09T03:10:21.000Z,2025-04-09T03:21:58.976Z,Sell,SOL,solana,105.48654682895575,105.48654682895575,95,85,115,,,2025-04-16T03:21:44Z,false
fatpigsignals,https://x.com/fatpigsignals/status/1909838119957823739,2025-04-09T05:17:45.000Z,2025-04-09T05:21:32.743Z,Sell,BTC,bitcoin,76329.090356324,76329.090356324,73000,70000,78800,,,2025-04-12T05:21:15Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909851240059855292,2025-04-09T06:09:53.000Z,2025-04-09T06:22:06.898Z,Buy,SUN,sunala,0,0,0.0168,0.0176,0.0155,,,2025-04-11T06:21:55Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909851240059855292,2025-04-09T06:09:53.000Z,2025-04-09T06:22:20.273Z,Buy,TRX,tron,0.2303552679246285,0.2303552679246285,0.24,0.245,0.22,,,2025-04-11T06:22:06Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909851240059855292,2025-04-09T06:09:53.000Z,2025-04-09T06:22:42.792Z,Buy,JST,just,0.028934187444020612,0.028934187444020612,0.032,0.035,0.0275,,,2025-04-11T06:22:20Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909866475474895142,2025-04-09T07:10:26.000Z,2025-04-09T07:22:10.542Z,Buy,ANYONE,airtor-protocol,0.2567038062051357,0.2567038062051357,0.2824,0.308,0.231,,,2025-04-16T07:21:54Z,true
CryptoWizardd,https://x.com/CryptoWizardd/status/1909879339715277036,2025-04-09T08:01:33.000Z,2025-04-09T08:02:10.223Z,Buy,BTC,bitcoin,76329.090356324,76329.090356324,79605,85000,72000,,,2025-04-12T08:01:45Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909881555998458063,2025-04-09T08:10:21.000Z,2025-04-09T08:22:07.627Z,Sell,BLUR,blur,0.08609932550457175,0.08609932550457175,0.085,0.081,0.09,,,2025-04-10T23:59:59Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909881555998458063,2025-04-09T08:10:21.000Z,2025-04-09T08:22:28.067Z,Hold,ETH,ethereum,1471.3608854365523,1471.3608854365523,1485,1500,1420,,,2025-04-11T08:22:07Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:03:06.650Z,Buy,HYPE,hyperblast,0,0,26.5,29.75,9.5,,,2025-10-09T10:02:56Z,false
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:03:20.228Z,Hold,HYPE,hyperliquid,11.202465615470969,11.202465615470969,12.32,12.88,10.08,,,2025-05-09T10:03:06Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:03:39.175Z,Hold,HYPE,hyperbolic-protocol,0,0,30,35,9.5,,,2025-05-01T23:59:59Z,false
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:03:52.800Z,Hold,HYPE,superrarebears-hype,1.7457710023056754e-7,1.7457710023056754e-7,0,0,,,,2025-07-09T10:03:39Z,false
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:04:12.193Z,Hold,USDC,usd-coin,0.9998881783890707,0.9998881783890707,1,1.0001,0.9995,,,2025-04-23T10:03:52Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:04:25.150Z,Hold,USDT,tether,0.9990462655067889,0.9990462655067889,0.999,0.999,0.998,,,2025-04-16T10:04:12Z,false
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:04:42.749Z,Hold,S,s,0,0,0,0,,,,2025-07-09T10:04:27Z,false
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:04:57.854Z,Hold,S,sonic-3,0.3945663789420865,0.3945663789420865,0.45,0.5,0.35,,,2025-07-09T10:04:42Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:05:23.608Z,Hold,S,agent-s,0.0002376684340038058,0.0002376684340038058,0.0003,0.0004,0.0001,,,2025-04-16T10:04:57Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:05:42.052Z,Hold,S,soperme,0,0,0.15,0.25,,,,2025-07-31T23:59:59Z,false
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909908391453220946,2025-04-09T09:56:59.000Z,2025-04-09T10:05:59.861Z,Hold,S,token-s,0.002583840623098106,0.002583840623098106,0.0035,0.0048,0.002,,,2025-07-09T10:05:42Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909912169980072334,2025-04-09T10:12:00.000Z,2025-04-09T10:22:07.966Z,Buy,S,sonic-3,0.3945663789420865,0.3945663789420865,0.6608,1.03,0.3156,,,2025-06-18T00:00:00Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909912169980072334,2025-04-09T10:12:00.000Z,2025-04-09T10:22:21.052Z,Buy,S,token-s,0.002583840623098106,0.002583840623098106,0.005,0.008,0.002,,,2025-06-30T23:59:59Z,false
dippy_eth,https://x.com/dippy_eth/status/1909934032307048811,2025-04-09T11:38:52.000Z,2025-04-09T11:43:00.679Z,Buy,LOOPY,loopy,0.000005114673718593129,0.000005114673718593129,0.00001023,0.00001535,0.00000435,,,2025-04-11T11:42:32Z,true
dippy_eth,https://x.com/dippy_eth/status/1909944552581923175,2025-04-09T12:20:41.000Z,2025-04-09T12:22:50.128Z,Buy,ALCH,alchemist-ai,0.06695584975615995,0.06695584975615995,0.07,0.08,0.06,,,2025-04-16T12:22:25Z,true
dippy_eth,https://x.com/dippy_eth/status/1909944552581923175,2025-04-09T12:20:41.000Z,2025-04-09T12:23:12.428Z,Buy,ALCH,alchemist-accelerate,0.000046143608128141826,0.000046143608128141826,0.00006,0.00008,0.00003,,,2025-04-16T12:22:50Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909944831767707809,2025-04-09T12:21:47.000Z,2025-04-09T12:41:02.326Z,Buy,BTC,bitcoin,76329.090356324,76329.090356324,80160,83792,74650,,,2025-04-11T23:59:59Z,true
CryptoDona7,https://x.com/CryptoDona7/status/1909953198036578354,2025-04-09T12:55:02.000Z,2025-04-09T13:01:29.967Z,Buy,INJ,injective-protocol,6.948609702379931,6.948609702379931,11.02,12.95,6.5,,,2025-04-30T23:59:59Z,false
CryptoSlate,https://x.com/CryptoSlate/status/1909974398825910558,2025-04-09T14:19:16.000Z,2025-04-09T14:21:01.403Z,Sell,ETH,ethereum,1471.3608854365523,1471.3608854365523,1400,1285,1550,,,2025-04-16T14:20:48Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909896565155921955,2025-04-09T09:09:59.000Z,2025-04-09T14:22:14.740Z,Hold,MIM,magic-internet-money,0.9994094637330785,0.9994094637330785,1.05,1.1,0.95,,,2025-04-16T14:21:58Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909896565155921955,2025-04-09T09:09:59.000Z,2025-04-09T14:22:29.755Z,Buy,SPELL,spell-token,0.00046951954605002855,0.00046951954605002855,0.00075,0.00123,0.00035,,,2025-04-16T23:59:59Z,true
dippy_eth,https://x.com/dippy_eth/status/1909979229749457169,2025-04-09T14:38:28.000Z,2025-04-09T14:42:38.308Z,Buy,SPX,spx6900,0.39668012364648825,0.39668012364648825,1,6,0.25,,,2025-04-30T23:59:59Z,false
dippy_eth,https://x.com/dippy_eth/status/1909979229749457169,2025-04-09T14:38:28.000Z,2025-04-09T14:42:59.399Z,Buy,FWOG,fwog,0.025236612057476276,0.025236612057476276,0.1,0.5,0.0202,,,2025-05-01T23:59:59Z,false
dippy_eth,https://x.com/dippy_eth/status/1909979229749457169,2025-04-09T14:38:28.000Z,2025-04-09T14:43:27.879Z,Buy,KENDU,kendu-inu,0.000010417838986598465,0.000010417838986598465,0.0001,0.2,0.000005,,,2025-05-09T14:42:59Z,false
dippy_eth,https://x.com/dippy_eth/status/1909979229749457169,2025-04-09T14:38:28.000Z,2025-04-09T14:43:42.644Z,Buy,APU,based-apu,3.971387601897395e-10,3.971387601897395e-10,0.0001,0.02,3e-10,,,2025-05-07T14:43:27Z,false
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1909982141632704593,2025-04-09T14:50:02.000Z,2025-04-09T15:02:37.397Z,Buy,HYPE,hyperliquid,11.202465615470969,11.202465615470969,21,32,10,,,2025-12-31T23:59:59Z,false
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1909980686083125439,2025-04-09T14:44:15.000Z,2025-04-09T15:02:58.748Z,Buy,BONK,bonk,0.000009502251551174979,0.000009502251551174979,0.000013,0.000015,0.0000085,,,2025-04-16T15:02:37Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909999851670282303,2025-04-09T16:00:25.000Z,2025-04-09T16:01:14.621Z,Hold,BTC,bitcoin,76329.090356324,76329.090356324,78000,80000,74000,,,2025-04-16T16:00:55Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910003866575503486,2025-04-09T16:16:22.000Z,2025-04-09T16:22:00.918Z,Buy,FARTCOIN,fartcoin,0.5101015638403192,0.5101015638403192,0.669,1,0.45,,,2025-04-16T16:21:46Z,true
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1910000920353518074,2025-04-09T16:04:40.000Z,2025-04-09T16:22:47.734Z,Hold,GUN,gunz,0.043003810192365814,0.043003810192365814,0.0473,0.0516,0.04,,,2025-04-10T16:22:23Z,true
dippy_eth,https://x.com/dippy_eth/status/1910015098371875088,2025-04-09T17:01:00.000Z,2025-04-09T17:02:41.656Z,Sell,ETH,ethereum,1471.3608854365523,1471.3608854365523,1300,1200,1600,,,2025-04-12T17:02:18Z,false
BenjiGanar,https://x.com/RX_crypto_/status/1909975926747881917,2025-04-09T14:25:21.000Z,2025-04-09T17:03:15.514Z,Buy,VIRAL,viralmind,0.0035252660251802836,0.0035252660251802836,0.0053,0.0071,0.0028,,,2025-04-12T23:59:59Z,true
BenjiGanar,https://x.com/RX_crypto_/status/1909975926747881917,2025-04-09T14:25:21.000Z,2025-04-09T17:03:30.358Z,Buy,TAO,bittensor,194.6444689474346,194.6444689474346,250,300,180,,,2025-04-16T17:03:15Z,true
BenjiGanar,https://x.com/RX_crypto_/status/1909975926747881917,2025-04-09T14:25:21.000Z,2025-04-09T17:03:52.243Z,Hold,BTC,bitcoin,76329.090356324,76329.090356324,79605,73205,76000,,,2025-04-12T17:03:30Z,true
BenjiGanar,https://x.com/RX_crypto_/status/1909975926747881917,2025-04-09T14:25:21.000Z,2025-04-09T17:04:11.364Z,Hold,ETH,ethereum,1471.3608854365523,1471.3608854365523,1675,1690,1285,,,2025-04-23T17:03:52Z,true
BenjiGanar,https://x.com/RX_crypto_/status/1909975926747881917,2025-04-09T14:25:21.000Z,2025-04-09T17:04:29.117Z,Hold,SOL,solana,105.48654682895575,105.48654682895575,116.0352,126.5839,94.9379,,,2025-04-16T17:04:11Z,true
BenjiGanar,https://x.com/RX_crypto_/status/1909975926747881917,2025-04-09T14:25:21.000Z,2025-04-09T17:04:55.342Z,Hold,QUIL,wrapped-quil,0.019880970538090764,0.019880970538090764,0.0199,0.0199,0.0179,,,2025-04-11T17:04:29Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910018589270368559,2025-04-09T17:14:52.000Z,2025-04-09T17:22:08.547Z,Sell,AR,arweave,4.9177858588430245,4.9177858588430245,4.5,4,5.5,,,2025-04-12T23:59:59Z,false
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1910018593733107731,2025-04-09T17:14:53.000Z,2025-04-09T17:23:10.847Z,Buy,ZIG,zignaly,0.06033480594492626,0.06033480594492626,0.0633,0.0663,0.0573,,,2025-04-12T17:22:54Z,true
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1910025226261520449,2025-04-09T17:41:15.000Z,2025-04-09T18:01:08.445Z,Buy,BURGER,burger-swap,0.009582806939541383,0.009582806939541383,0.0101,0.0105,0.0091,,,2025-04-11T18:00:52Z,true
fatpigsignals,https://x.com/fatpigsignals/status/1910030281639186839,2025-04-09T18:01:20.000Z,2025-04-09T18:02:13.194Z,Buy,BTC,bitcoin,76329.090356324,76329.090356324,79500,85000,74000,,,2025-04-11T18:02:02Z,true
cryptostasher,https://x.com/cryptostasher/status/1910032429089169478,2025-04-09T18:09:52.000Z,2025-04-09T18:20:36.224Z,Buy,DSYNC,destra-network,0.11556442349342363,0.11556442349342363,0.1272,0.1387,0.1075,,,2025-04-12T18:20:11Z,true
cryptostasher,https://x.com/cryptostasher/status/1910032429089169478,2025-04-09T18:09:52.000Z,2025-04-09T18:20:52.618Z,Buy,PIN,pinlink,0.6343505529121628,0.6343505529121628,0.7,0.75,0.6,,,2025-04-12T18:20:36Z,true
CryptoWizardd,https://x.com/CryptoWizardd/status/1910034099139453198,2025-04-09T18:16:30.000Z,2025-04-09T18:22:51.157Z,Buy,BANANA,banana,0.06491246348134445,0.06491246348134445,100,1000,0.04,,,2025-12-31T23:59:59Z,false
dippy_eth,https://x.com/dippy_eth/status/1910034556997992512,2025-04-09T18:18:19.000Z,2025-04-09T18:24:09.796Z,Hold,NPC,npc,0.000011901408669417849,0.000011901408669417849,0.00001309,0.00001428,0.0000107,,,2025-04-10T18:23:45Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1910045050777858551,2025-04-09T19:00:01.000Z,2025-04-09T19:01:06.518Z,Buy,BTC,bitcoin,76329.090356324,76329.090356324,79605,83505,75000,,,2025-04-12T19:00:52Z,true
CryptoWizardd,https://x.com/CryptoWizardd/status/1910041743430427103,2025-04-09T18:46:53.000Z,2025-04-09T19:02:29.822Z,Buy,AUTOS,cryptoautos,0.008948886361387918,0.008948886361387918,0.01,0.012,0.008,,,2025-04-10T19:02:00Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910049755834753097,2025-04-09T19:18:43.000Z,2025-04-09T19:22:10.650Z,Buy,SLING,slingshot-2,0.006628128891961475,0.006628128891961475,0.0073,0.008,0.0059,,,2025-04-23T19:21:46Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910040211867984340,2025-04-09T18:40:47.000Z,2025-04-09T19:22:26.526Z,Hold,BTC,bitcoin,76329.090356324,76329.090356324,78500,79600,73550,,,2025-04-12T19:22:10Z,true
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1910050715004715074,2025-04-09T19:22:32.000Z,2025-04-09T19:23:32.908Z,Buy,AUTOS,autosingle,0.0013025870234688527,0.0013025870234688527,0.002,0.0026,0.001,,,2025-04-10T19:22:56Z,true
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1910050715004715074,2025-04-09T19:22:32.000Z,2025-04-09T19:23:57.703Z,Buy,AUTOS,cryptoautos,0.008948886361387918,0.008948886361387918,0.015,0.025,0.007,,,2025-04-11T19:23:32Z,true
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1910058968182841634,2025-04-09T19:55:19.000Z,2025-04-09T20:02:27.740Z,Hold,BTC,bitcoin,76329.090356324,76329.090356324,79605,93000,73000,,,2025-04-12T20:02:10Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910064024064291096,2025-04-09T20:15:25.000Z,2025-04-09T20:22:12.168Z,Hold,ETH,ethereum,1471.3608854365523,1471.3608854365523,1665,1675,1345,,,2025-04-11T20:21:52Z,true
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1910075671755321657,2025-04-09T21:01:42.000Z,2025-04-09T21:02:27.036Z,Hold,S,s,0,0,0,0,,,,2025-04-09T21:30:00Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1910078932600455408,2025-04-09T21:14:39.000Z,2025-04-09T21:21:52.432Z,Buy,SOL,solana,105.48654682895575,105.48654682895575,115,125,95,,,2025-04-16T21:21:41Z,true
AltcoinSherpa,https://x.com/theunipcs/status/1910083928838525216,2025-04-09T21:34:30.000Z,2025-04-09T22:02:47.205Z,Buy,PEPE,pepe,0.0000060103152912968134,0.0000060103152912968134,0.00001,0.00002489,0.0000055,,,2025-04-27T23:59:59Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1910091388429201734,2025-04-09T22:04:09.000Z,2025-04-09T22:21:02.806Z,Buy,BTC,bitcoin,76329.090356324,76329.090356324,78000,82000,74000,,,2025-04-12T22:20:43Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910093725323366628,2025-04-09T22:13:26.000Z,2025-04-09T22:22:17.442Z,Buy,FARTCOIN,fartcoin,0.5101015638403192,0.5101015638403192,0.65,0.7,0.48,,,2025-04-11T22:21:57Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1910097895275250172,2025-04-09T22:30:00.000Z,2025-04-09T22:41:00.365Z,Sell,ETH,ethereum,1471.3608854365523,1471.3608854365523,1350,1250,1550,,,2025-04-12T22:40:45Z,false
CryptoSlate,https://x.com/CryptoSlate/status/1910105447203516718,2025-04-09T23:00:01.000Z,2025-04-09T23:00:57.379Z,Buy,ETH,ethereum,1471.3608854365523,1471.3608854365523,1500,1600,1400,,,2025-04-16T23:00:00Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1910108689899630938,2025-04-09T23:12:54.000Z,2025-04-09T23:21:43.889Z,Buy,SOL,solana,105.48654682895575,105.48654682895575,115,130,95,,,2025-04-16T23:21:34Z,true
