Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Current Price,TP1,TP2,SL,Exit Price,P&L,Exit Price (Trailing Stop),P&L (Trailing Stop),Exit Price (SMA10),P&L (SMA10),Exit Price (SMA20),P&L (SMA20),Exit Price (EMA10),P&L (EMA10),Exit Price (EMA20),P&L (EMA20),,,,,,,,,,,,,,
Vader_AI_,https://x.com/Vader_AI_/status/1902077753949598176,2025-03-18T19:20:50.000Z,2025-03-19T11:13:54.488Z,Buy,VADER,vader-protocol,1.53616E-05,1.53616E-05,0.00001843,0.00001997,0.00001459,1.46197E-05,-4.83%,1.46197E-05,-4.83%,1.46197E-05,-4.83%,1.46197E-05,-4.83%,1.46197E-05,-4.83%,1.46197E-05,-4.83%,,,,,,,,,,,,,,
cryptostasher,https://x.com/cryptostasher/status/1898008977801125996,2025-03-07T13:52:58.000Z,2025-03-20T09:07:07.754Z,Buy,ZIG,zignaly,0.088397653,0.085523683,0.0898,0.1,0.079,0.079431462,-10.14%,0.079431462,-10.14%,0.079431462,-10.14%,0.079431462,-10.14%,0.079431462,-10.14%,0.079431462,-10.14%,,,,,,,,,,,,,,
cryptostasher,https://x.com/cryptostasher/status/1898476135840715138,2025-03-08T20:49:17.000Z,2025-03-20T09:07:27.321Z,Hold,BTC,bitcoin,86773.33598,86815.44109,90000,95000,82000,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,,,,,,,,,,,,,,
cryptostasher,https://x.com/cryptostasher/status/1898189510145413521,2025-03-08T01:50:20.000Z,2025-03-20T09:07:46.288Z,Buy,BTC,bitcoin,86773.33598,86815.44109,88000,90000,82000,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,,,,,,,,,,,,,,
cryptostasher,https://x.com/cryptostasher/status/1902284542167158968,2025-03-19T09:02:32.000Z,2025-03-20T09:08:05.542Z,Buy,ZIG,zignaly,0.083326139,0.085523683,0.094,0.0983,0.08,0.085127131,2.16%,0.081829477,-1.80%,0.081829477,-1.80%,0.081829477,-1.80%,0.081829477,-1.80%,0.081829477,-1.80%,,,,,,,,,,,,,,
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898588132398027046,2025-03-09T04:14:19.000Z,2025-03-20T09:08:20.727Z,Buy,AST,astra-2,0.000442622,0.000421832,0.000464,0.000506,0.00038,0.000482887,9.10%,0.000482887,9.10%,0.000681112,53.88%,0.000681112,53.88%,0.000681112,53.88%,0.000681112,53.88%,,,,,,,,,,,,,,
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898589002195927043,2025-03-09T04:17:46.000Z,2025-03-20T09:08:33.994Z,Buy,AST,astra-2,0.000442622,0.000421832,0.00046,0.0005,0.00035,0.000482887,9.10%,0.000482887,9.10%,0.000681112,53.88%,0.000681112,53.88%,0.000681112,53.88%,0.000681112,53.88%,,,,,,,,,,,,,,
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898523560450412776,2025-03-08T23:57:44.000Z,2025-03-20T09:09:16.129Z,Buy,AST,astra-2,0.000440412,0.000421832,0.00045,0.0005,0.0004,0.000482887,9.64%,0.000482887,9.64%,0.000681112,54.65%,0.000681112,54.65%,0.000681112,54.65%,0.000681112,54.65%,,,,,,,,,,,,,,
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,2025-03-20T09:09:35.562Z,Buy,AST,airswap,0.04977073,0.047336076,0.05,0.055,0.043,0.043,-13.60%,0.043,-13.60%,0.043,-13.60%,0.043,-13.60%,0.043,-13.60%,0.043,-13.60%,,,,,,,,,,,,,,
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1902346240391549128,2025-03-19T13:07:42.000Z,2025-03-20T09:10:22.357Z,Buy,AST,airswap,0.046723616,0.047336076,0.0497,0.05207,0.04581,0.04581,-1.96%,0.04581,-1.96%,0.04581,-1.96%,0.04581,-1.96%,0.04581,-1.96%,0.04581,-1.96%,,,,,,,,,,,,,,
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1902346240391549128,2025-03-19T13:07:42.000Z,2025-03-20T09:10:34.387Z,Buy,VIDT,vidt-dao,0.012350076,0.012385717,0.0136,0.0152,0.0118,0.014637223,18.52%,0.014637223,18.52%,0.013665624,10.65%,0.013665624,10.65%,0.013665624,10.65%,0.023641807,91.43%,,,,,,,,,,,,,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897691548344820121,2025-03-06T16:51:37.000Z,2025-03-20T09:11:15.627Z,Buy,ZIG,zignaly,0.090902026,0.085523683,0.1265,0.1764,0.07,0.085127131,-6.35%,0.081829477,-9.98%,0.081829477,-9.98%,0.081829477,-9.98%,0.081829477,-9.98%,0.081829477,-9.98%,,,,,,,,,,,,,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897664434518347820,2025-03-06T15:03:52.000Z,2025-03-20T09:11:28.358Z,Buy,VANRY,vanar-chain,0.033809772,0.03013572,0.035,0.04,0.025,0.025,-26.06%,0.025,-26.06%,0.025,-26.06%,0.025,-26.06%,0.025,-26.06%,0.025,-26.06%,,,,,,,,,,,,,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,2025-03-20T09:12:10.708Z,Buy,TRISIG,tri-sigma,0.004222263,0.004066029,0.0061,0.0081,0.00366,0.00366,-13.32%,0.00366,-13.32%,0.00366,-13.32%,0.00366,-13.32%,0.00366,-13.32%,0.00366,-13.32%,,,,,,,,,,,,,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,2025-03-20T09:12:30.179Z,Buy,STNK,stonks-4,16.36440443,17.3984372,27,34.8,15,15,-8.34%,15,-8.34%,15,-8.34%,15,-8.34%,15,-8.34%,15,-8.34%,,,,,,,,,,,,,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1902383795338420735,2025-03-19T15:36:56.000Z,2025-03-20T09:12:41.975Z,Buy,ZIG,zignaly,0.083326139,0.085523683,0.098,0.112,0.078,0.085127131,2.16%,0.081829477,-1.80%,0.081829477,-1.80%,0.081829477,-1.80%,0.081829477,-1.80%,0.081829477,-1.80%,,,,,,,,,,,,,,
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1902474484432753079,2025-03-19T21:37:18.000Z,2025-03-20T09:13:02.420Z,Buy,DEXTF,dextf,0.098639627,0.105614267,0.1215,0.132,0.095,0.152275104,54.38%,0.152275104,54.38%,0.207760279,110.63%,0.207760279,110.63%,0.207760279,110.63%,0.207760279,110.63%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-20T09:13:33.239Z,Buy,DEGO,dego-finance,1.966486991,1.913698605,2.12,2.44,1.92,2.083131299,5.93%,2.083131299,5.93%,1.92,-2.36%,1.92,-2.36%,1.92,-2.36%,1.92,-2.36%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902616219217489936,2025-03-20T07:00:30.000Z,2025-03-20T09:14:41.938Z,Buy,MDT,measurable-data-token,0.029144944,0.029144944,0.035,0.04,0.027,0.027,-7.36%,0.027,-7.36%,0.027,-7.36%,0.027,-7.36%,0.027,-7.36%,0.027,-7.36%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902633410017018120,2025-03-20T08:08:48.000Z,2025-03-20T09:14:50.393Z,Buy,SLF,self-chain,0.26794081,0.26794081,0.295,0.35,0.235,0.235,-12.29%,0.235,-12.29%,0.235,-12.29%,0.235,-12.29%,0.235,-12.29%,0.235,-12.29%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902633410017018120,2025-03-20T08:08:48.000Z,2025-03-20T09:15:08.367Z,Buy,MDT,measurable-data-token,0.029144944,0.029144944,0.035,0.045,0.024,0.026186282,-10.15%,0.026602033,-8.73%,0.026602033,-8.73%,0.026602033,-8.73%,0.026602033,-8.73%,0.026602033,-8.73%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902631279935508594,2025-03-20T08:00:20.000Z,2025-03-20T09:15:21.753Z,Buy,TUT,tutorial,0.04814279,0.04814279,0.05,0.06,0.04,0.04,-16.91%,0.04,-16.91%,0.04,-16.91%,0.04,-16.91%,0.04,-16.91%,0.04,-16.91%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902618561928925658,2025-03-20T07:09:48.000Z,2025-03-20T09:15:36.142Z,Buy,SLF,self-chain,0.26794081,0.26794081,0.3,0.32,0.25,0.25,-6.70%,0.25,-6.70%,0.25,-6.70%,0.25,-6.70%,0.25,-6.70%,0.25,-6.70%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902618561928925658,2025-03-20T07:09:48.000Z,2025-03-20T09:15:45.093Z,Buy,MDT,measurable-data-token,0.029144944,0.029144944,0.032,0.035,0.0277,0.0277,-4.96%,0.0277,-4.96%,0.0277,-4.96%,0.0277,-4.96%,0.0277,-4.96%,0.0277,-4.96%,,,,,,,,,,,,,,
CryptoDona7,https://x.com/CryptoDona7/status/1898009672998629454,2025-03-07T13:55:44.000Z,2025-03-20T09:16:27.801Z,Buy,NAKA,nakamoto-games,0.416430025,0.414932985,0.5,0.6,0.37,0.37,-11.15%,0.37,-11.15%,0.37,-11.15%,0.37,-11.15%,0.37,-11.15%,0.37,-11.15%,,,,,,,,,,,,,,
CryptoDona7,https://x.com/CryptoDona7/status/1898008295903756416,2025-03-07T13:50:15.000Z,2025-03-20T09:16:45.034Z,Buy,CPOOL,clearpool,0.154564649,0.153151489,0.17,0.2,0.14,0.14,-9.42%,0.14,-9.42%,0.14,-9.42%,0.14,-9.42%,0.14,-9.42%,0.14,-9.42%,,,,,,,,,,,,,,
CryptoDona7,https://x.com/CryptoDona7/status/1898004902028136546,2025-03-07T13:36:46.000Z,2025-03-20T09:17:02.226Z,Buy,ETC,ethereum-classic,20.00355399,18.56492447,21.3,25,17,17,-15.02%,17,-15.02%,17,-15.02%,17,-15.02%,17,-15.02%,17,-15.02%,,,,,,,,,,,,,,
CryptoDona7,https://x.com/CryptoDona7/status/1902407689444950131,2025-03-19T17:11:52.000Z,2025-03-20T09:17:41.279Z,Buy,NAKA,nakamoto-games,0.402163546,0.414932985,0.428,0.445,0.389,0.389,-3.27%,0.389,-3.27%,0.389,-3.27%,0.389,-3.27%,0.389,-3.27%,0.389,-3.27%,,,,,,,,,,,,,,
Johnbellopate,https://x.com/Johnbellopate/status/1902491420859974035,2025-03-19T22:44:35.000Z,2025-03-20T09:17:55.717Z,Buy,CPAL,chainpal,0.114382541,0.136067455,0.371673,10,0.1,0.122826396,7.38%,0.118045162,3.20%,0.118045162,3.20%,0.118045162,3.20%,0.118045162,3.20%,0.118045162,3.20%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/CryptoWizardd/status/1898000464131613065,2025-03-07T13:19:08.000Z,2025-03-20T09:18:09.125Z,Buy,ZIG,zignaly,0.088397653,0.085523683,0.0884,0.09,0.08,0.08,-9.50%,0.08,-9.50%,0.08,-9.50%,0.08,-9.50%,0.08,-9.50%,0.08,-9.50%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/cryptocevo/status/1897987188765155395,2025-03-07T12:26:23.000Z,2025-03-20T09:18:21.540Z,Buy,ZIG,zignaly,0.088397653,0.085523683,0.18,1,0.07,0.085127131,-3.70%,0.081829477,-7.43%,0.081829477,-7.43%,0.081829477,-7.43%,0.081829477,-7.43%,0.081829477,-7.43%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/cryptostasher/status/1898429528072126789,2025-03-08T17:44:05.000Z,2025-03-20T09:18:31.296Z,Buy,ZIG,zignaly,0.093524752,0.085523683,0.12,0.17,0.075,0.085127131,-8.98%,0.081829477,-12.51%,0.081829477,-12.51%,0.081829477,-12.51%,0.081829477,-12.51%,0.081829477,-12.51%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/CryptoWizardd/status/1898485768202371231,2025-03-08T21:27:33.000Z,2025-03-20T09:18:44.563Z,Hold,ETH,ethereum,2140.749809,2060.728601,2150,2240,1900,2017.26546,-5.77%,2017.26546,-5.77%,2017.26546,-5.77%,2017.26546,-5.77%,2017.26546,-5.77%,2017.26546,-5.77%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/CryptoWizardd/status/1898485768202371231,2025-03-08T21:27:33.000Z,2025-03-20T09:18:55.463Z,Buy,NPC,npc,1.60374E-05,1.60374E-05,0.000024,0.00003,0.000012,1.50673E-05,-6.05%,1.35754E-05,-15.35%,1.35754E-05,-15.35%,1.35754E-05,-15.35%,1.35754E-05,-15.35%,1.35754E-05,-15.35%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/godinnesss/status/1898475838506778712,2025-03-08T20:48:06.000Z,2025-03-20T09:19:09.253Z,Buy,BTC,bitcoin,86773.33598,86815.44109,90000,95000,82000,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,82000,-5.50%,,,,,,,,,,,,,,
CryptoWizardd,https://x.com/StonkChris/status/1902457033938362716,2025-03-19T20:27:57.000Z,2025-03-20T09:19:22.269Z,Buy,DOGE,dogecoin,0.16827611,0.178003485,0.2,0.23,0.165,0.181715541,7.99%,0.177933395,5.74%,0.177933395,5.74%,0.177933395,5.74%,0.177933395,5.74%,0.177933395,5.74%,,,,,,,,,,,,,,
aixbt_agent,https://x.com/aixbt_agent/status/1898587051525865955,2025-03-09T04:10:01.000Z,2025-03-20T09:20:00.659Z,Hold,JTO,jito-governance-token,2.325254844,2.25703745,2.62,2.8,2.15,2.15,-7.54%,2.15,-7.54%,2.15,-7.54%,2.15,-7.54%,2.15,-7.54%,2.15,-7.54%,,,,,,,,,,,,,,
aixbt_agent,https://x.com/aixbt_agent/status/1898587052993864084,2025-03-09T04:10:02.000Z,2025-03-20T09:20:13.875Z,Buy,SOL,solana,136.8821064,135.6227617,138,140,130.5,130.5,-4.66%,130.5,-4.66%,130.5,-4.66%,130.5,-4.66%,130.5,-4.66%,130.5,-4.66%,,,,,,,,,,,,,,
aixbt_agent,https://x.com/aixbt_agent/status/1902633490077941914,2025-03-20T08:09:07.000Z,2025-03-20T09:20:24.050Z,Buy,BTC,bitcoin,86815.44109,86815.44109,89000,90000,84000,84000,-3.24%,84000,-3.24%,84000,-3.24%,84000,-3.24%,84000,-3.24%,84000,-3.24%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902432675798913123,2025-03-19T18:51:10.000Z,2025-03-20T09:20:38.474Z,Buy,ONDO,ondo-finance,0.841556511,0.885328721,0.96,1.05,0.73,0.864954579,2.78%,0.820353141,-2.52%,0.820353141,-2.52%,0.820353141,-2.52%,0.820353141,-2.52%,0.820353141,-2.52%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902389727925325982,2025-03-19T16:00:30.000Z,2025-03-20T09:21:03.573Z,Buy,QUBIC,qubic-network,1.24221E-06,1.26258E-06,0.000001388,0.000001515,1.1994E-06,1.1994E-06,-3.45%,1.1994E-06,-3.45%,1.1994E-06,-3.45%,1.1994E-06,-3.45%,1.1994E-06,-3.45%,1.1994E-06,-3.45%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902389727925325982,2025-03-19T16:00:30.000Z,2025-03-20T09:21:13.670Z,Buy,XMR,monero,208.9343117,207.3230441,215.5,225.75,195,221.9990085,6.25%,217.795025,4.24%,219.1382592,4.88%,219.1382592,4.88%,219.1382592,4.88%,219.1382592,4.88%,,,,,,,,,,,,,,
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-20T09:21:37.100Z,Buy,HYPE,hyperblast,0.004211426,0.004024804,0.0048,0.0052,0.0038,0.0038,-9.77%,0.0038,-9.77%,0.0038,-9.77%,0.0038,-9.77%,0.0038,-9.77%,0.0038,-9.77%,,,,,,,,,,,,,,
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-20T09:21:48.796Z,Buy,AAVE,aave,197.1110883,183.3170145,200,225,170,170,-13.75%,170,-13.75%,170,-13.75%,170,-13.75%,170,-13.75%,170,-13.75%,,,,,,,,,,,,,,
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-20T09:22:21.029Z,Buy,MKR,maker,1304.343785,1294.582127,1400,1500,1200,1200,-8.00%,1200,-8.00%,1200,-8.00%,1200,-8.00%,1200,-8.00%,1200,-8.00%,,,,,,,,,,,,,,
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1902573848714686519,2025-03-20T04:12:08.000Z,2025-03-20T09:23:05.184Z,Hold,AKA,she-rises,0.001553327,0.001553327,0.002,0.003,0.001,0.00162174,4.40%,0.001539187,-0.91%,0.001539187,-0.91%,0.001539187,-0.91%,0.001539187,-0.91%,0.001539187,-0.91%,,,,,,,,,,,,,,
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-20T09:24:09.705Z,Buy,HEDGE,hedgefi,0.000424295,0.000340893,0.000681786,0.001022679,0.000306804,0.000306804,-27.69%,0.000306804,-27.69%,0.000306804,-27.69%,0.000306804,-27.69%,0.000306804,-27.69%,0.000306804,-27.69%,,,,,,,,,,,,,,
dippy_eth,https://x.com/dippy_eth/status/1902492810735186085,2025-03-19T22:50:07.000Z,2025-03-20T09:24:22.297Z,Buy,ALCH,alchemist-ai,0.064761277,0.061601477,0.0748,0.11,0.059,0.059,-8.90%,0.059,-8.90%,0.059,-8.90%,0.059,-8.90%,0.059,-8.90%,0.059,-8.90%,,,,,,,,,,,,,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1902394954883682609,2025-03-19T16:21:16.000Z,2025-03-20T09:24:37.461Z,Buy,ZIG,zignaly,0.083326139,0.085523683,0.09,0.095,0.075,0.089654299,7.59%,0.089654299,7.59%,0.082877302,-0.54%,0.082877302,-0.54%,0.082877302,-0.54%,0.082877302,-0.54%,,,,,,,,,,,,,,
Steve_Cryptoo,https://x.com/CryptoWizardd/status/1902382953449083183,2025-03-19T15:33:35.000Z,2025-03-20T09:24:45.020Z,Buy,NPC,npc,1.53047E-05,1.60374E-05,0.0000165,0.0000175,0.000015,0.000015,-1.99%,0.000015,-1.99%,0.000015,-1.99%,0.000015,-1.99%,0.000015,-1.99%,0.000015,-1.99%,,,,,,,,,,,,,,
cryptoo_doctor,https://x.com/rovercrc/status/1902303841896267824,2025-03-19T10:19:13.000Z,2025-03-20T09:25:18.377Z,Hold,USDT,tether,0.99979517,1.000251245,1.0005,1.001,0.9995,0.9995,-0.03%,0.9995,-0.03%,0.9995,-0.03%,0.9995,-0.03%,0.9995,-0.03%,0.9995,-0.03%,,,,,,,,,,,,,,
cryptostasher,https://x.com/cryptostasher/status/1902669052092276789,2025-03-20T10:30:26.000Z,2025-03-20T15:00:15.225Z,Hold,ETH,ethereum,2060.728601,2060.728601,2200,2350,1800,1907.031913,-7.46%,1892.595556,-8.16%,1892.595556,-8.16%,1892.595556,-8.16%,1892.595556,-8.16%,1892.595556,-8.16%,,,,,,,,,,,,,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1902658363609211328,2025-03-20T09:47:58.000Z,2025-03-20T15:00:33.848Z,Buy,FTON,fanton-token,0.00096019,0.00096019,0.00125,0.00154,0.00082,0.001019705,6.20%,0.001002721,4.43%,0.001002721,4.43%,0.001002721,4.43%,0.001002721,4.43%,0.001002721,4.43%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902685342341202212,2025-03-20T11:35:10.000Z,2025-03-20T15:01:43.649Z,Buy,DSYNC,destra-network,0.147525942,0.147525942,0.18,0.2,0.13,0.139077364,-5.73%,0.135250362,-8.32%,0.135250362,-8.32%,0.135250362,-8.32%,0.135250362,-8.32%,0.135250362,-8.32%,,,,,,,,,,,,,,
holdersignals,https://x.com/holdersignals/status/1902677607113756717,2025-03-20T11:04:26.000Z,2025-03-20T15:01:56.118Z,Buy,JUV,juventus-fan-token,1.12050515,1.12050515,1.46,1.86,0.912,1.109628215,-0.97%,1.124824531,0.39%,1.124824531,0.39%,1.124824531,0.39%,1.124824531,0.39%,1.124824531,0.39%,,,,,,,,,,,,,,
