Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,TP2,SL,Exit Price,P&L
CryptoDona7,https://x.com/CryptoDona7/status/1901761154810102178,2025-03-17T22:22:46.000Z,2025-03-19T10:52:45.415Z,Sell,SOL,solana,128.27980954134415,,,,125.34406014353017,160,170,175,175,36.42%
fatpigsignals,https://x.com/fatpigsignals/status/1899529521528795473,2025-03-11T18:35:04.000Z,2025-03-19T10:53:19.545Z,Hold,BTC,bitcoin,82799.1080292053,,,,82780.03048688271,84205,88065,79205,82610.61750343916,-0.23%
CryptoWizardd,https://x.com/CryptoWizardd/status/1898000464131613065,2025-03-07T13:19:08.000Z,2025-03-19T10:54:12.171Z,Buy,ZIG,zignaly,0.08839765311728418,,,,0.08332613939091653,0.09,0.1,0.075,0.07943146215806177,-10.14%
CryptoWizardd,https://x.com/cryptocevo/status/1897987188765155395,2025-03-07T12:26:23.000Z,2025-03-19T10:54:22.300Z,Hold,ZIG,zignaly,0.08839765311728418,,,,0.08332613939091653,0.0995,0.266,0.075,0.08273353968777504,-6.41%
CryptoWizardd,https://x.com/cryptostasher/status/1898429528072126789,2025-03-08T17:44:05.000Z,2025-03-19T10:54:32.497Z,Buy,ZIG,zignaly,0.09352475191000759,,,,0.08332613939091653,0.0935,0.15,0.075,0.07943146215806177,-15.07%
CryptoWizardd,https://x.com/CryptoWizardd/status/1898485768202371231,2025-03-08T21:27:33.000Z,2025-03-19T10:54:45.264Z,Sell,ETH,ethereum,2199.9995000805707,,,,1932.7964059050657,1850,1800,2000,2017.265460184326,-8.31%
CryptoWizardd,https://x.com/CryptoWizardd/status/1898485768202371231,2025-03-08T21:27:33.000Z,2025-03-19T10:55:01.316Z,Buy,NPC,npc,0.00001530467838358703,,,,0.00001530467838358703,0.00003,0.000045,0.00000765,0.00001530467838358703,0.00%
CryptoWizardd,https://x.com/godinnesss/status/1898475838506778712,2025-03-08T20:48:06.000Z,2025-03-19T10:55:15.439Z,Buy,BTC,bitcoin,86142.9833586432,,,,82780.03048688271,85000,88000,75000,80751.13893300897,-6.26%
CryptoWizardd,https://x.com/_CryptoSurf/status/1901954922771353915,2025-03-18T11:12:44.000Z,2025-03-19T10:55:35.069Z,Buy,DOGE,dogecoin,0.1736204186748998,,,,0.16827610995428421,0.175,0.185,0.155,0.170045613468092,-2.06%
aixbt_agent,https://x.com/aixbt_agent/status/1898587051525865955,2025-03-09T04:10:01.000Z,2025-03-19T11:04:17.721Z,Buy,JTO,jito-governance-token,2.3252548438468175,,,,2.1600100461655045,2.62,2.85,2,2.175592491217581,-6.44%
aixbt_agent,https://x.com/aixbt_agent/status/1898587052993864084,2025-03-09T04:10:02.000Z,2025-03-19T11:04:33.373Z,Hold,SOL,solana,136.88210638232243,,,,125.34406014353017,130,140,115,133.5545345544276,-2.43%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902305447433928909,2025-03-19T10:25:36.000Z,2025-03-19T11:05:15.329Z,Buy,LINK,chainlink,13.928617348921703,,,,13.928617348921703,14.6,15,13.5,14.338112109628996,2.94%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:32.067Z,Buy,RENDER,render-token,3.2255494601658357,,,,3.244836236717552,3.5,3.75,3,3.2985772591656617,2.26%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:44.053Z,Buy,INJ,injective-protocol,9.968700149535126,,,,9.69816645557752,12.06,14.1,8.1,9.867267966687349,-1.02%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:59.512Z,Buy,ONDO,ondo-finance,0.8596525846286261,,,,0.8415565111328321,0.96,1.18,0.73,0.8583827563075488,-0.15%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:06:10.797Z,Buy,QUBIC,qubic-network,0.0000013123671475454198,,,,0.0000012422087466712307,0.00000135,0.00000145,0.0000011,0.0000012651354412226402,-3.60%
CryptoReviewing,https://x.com/CryptoReviewing/status/1901975491680121013,2025-03-18T12:34:28.000Z,2025-03-19T11:06:21.946Z,Buy,KAS,kaspa,0.07565528121046333,,,,0.07779846878795403,0.085,0.09,0.074,0.08136614738771827,7.55%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:03.866Z,Buy,HYPE,hyperblast,0.004211425745571899,,,,0.003775071283562317,0.0045,0.005,0.0034,0.003892739436186122,-7.57%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:15.040Z,Buy,AAVE,aave,197.11108832942142,,,,169.6477184993288,180,200,145,178.24571696691805,-9.57%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:30.863Z,Buy,ENA,ethena,0.4280843990351928,,,,0.3684925061656005,0.4028,0.4415,0.345,0.4227610695978886,-1.24%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:47.410Z,Buy,MKR,maker,1304.3437849983545,,,,1277.9926011431526,1350,1420,1213,1213,-7.00%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1902313784913391936,2025-03-19T10:58:44.000Z,2025-03-19T11:08:00.031Z,Buy,CAKE,pancakeswap-token,2.59757392533027,,,,2.59757392533027,2.9,3.1,2.4,2.4,-7.61%
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898420064036008439,2025-03-08T17:06:28.000Z,2025-03-19T11:08:39.002Z,Buy,HASHAI,hashai,0.00031663723235136464,,,,0.00029871761036757153,0.00035,0.0008,0.00025,0.00025,-21.05%
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898420064036008439,2025-03-08T17:06:28.000Z,2025-03-19T11:08:53.220Z,Buy,CAH,moon-tropica,2.601559449898598,,,,3.180626357082054,3.5,3.8,2.85,2.85,9.55%
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898056891579683244,2025-03-07T17:03:21.000Z,2025-03-19T11:09:04.602Z,Buy,ETH,ethereum,2202.3207363495417,,,,1932.7964059050657,2100,2200,1800,2140.7498089428914,-2.80%
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:09:43.715Z,Buy,LOCKIN,lock-in,0.019540501859684624,,,,0.0051621257128375035,0.007,0.01,0.004,0.01625086342901326,-16.83%
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:09:59.477Z,Sell,NODE,nodez,0.0006055932291769373,,,,0,0,0,,0.0005685103227148623,-6.12%
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:10.871Z,Buy,CPAL,chainpal,0.18151466565531868,,,,0.11438254108045391,0.18,0.24,0.1,0.19332929273588417,6.51%
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:24.114Z,Buy,BERRY,berry,0.00022694734551311938,,,,0.00015696223073703966,0.000235,0.000314,0.000125,0.000218120673699173,-3.89%
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:41.993Z,Hold,HEDGE,hedgefi,0.0004242952928509603,,,,0.00033789300727725765,0.000421,0.000506,0.00027,0.00027,-36.37%
dippy_eth,https://x.com/dippy_eth/status/1902297729100816560,2025-03-19T09:54:56.000Z,2025-03-19T11:11:02.306Z,Buy,ALCH,alchemist-ai,0.06476127740483242,,,,0.06476127740483242,0.08,0.2,0.055,0.06277019595913573,-3.07%
dippy_eth,https://x.com/dippy_eth/status/1902297729100816560,2025-03-19T09:54:56.000Z,2025-03-19T11:11:18.513Z,Buy,ALCH,alchemist-accelerate,0.00004952814005101289,,,,0.00004952814005101289,0.05578,0.06448,0.0402,0.0402,81065.98%
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1902046042645803455,2025-03-18T17:14:49.000Z,2025-03-19T11:12:01.587Z,Buy,LNQ,linqai,0.03203609391914744,,,,0.03137818737413583,0.03539,0.03643,0.03,0.031631495403840436,-1.26%
Steve_Cryptoo,https://x.com/rovercrc/status/1902043069727264982,2025-03-18T17:03:00.000Z,2025-03-19T11:12:14.017Z,Buy,BTC,bitcoin,84075.36559694471,,,,82780.03048688271,84205,88065,79000,83767.95866260621,-0.37%
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1901920730666664009,2025-03-18T08:56:52.000Z,2025-03-19T11:12:29.181Z,Buy,ZIG,zignaly,0.08653930425304777,,,,0.08332613939091653,0.089,0.096,0.079,0.08273353968777504,-4.40%
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1902295532636164432,2025-03-19T09:46:12.000Z,2025-03-19T11:13:18.493Z,Hold,VELO,velo,0.013655062332921067,,,,0.013655062332921067,0.015,0.017,0.0125,0.013525577599057986,-0.95%
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1902295532636164432,2025-03-19T09:46:12.000Z,2025-03-19T11:13:29.414Z,Hold,XLM,stellar,0.27307968408999317,,,,0.27307968408999317,0.28,0.3,0.23,0.282032398392618,3.28%
Vader_AI_,https://x.com/Vader_AI_/status/1902077753949598176,2025-03-18T19:20:50.000Z,2025-03-19T11:13:54.488Z,Buy,VADER,vader-protocol,0.000015361597938621428,,,,0.000015361597938621428,0.00001843,0.00001997,0.00001459,0.000017397061369502145,13.25%
,,,,,,,,,,,,,,,N/A,N/A
